restaurant_id,text,stars
gAAAAABnUs7R8uEtQqpI7xdGLo8CFNTnQw_tADniwES392S4_q4hBtsHlV_QVOYEVwf0qXUiztAP4v910wlsRweueH1JRfDElA==,"Sauce vipo infecte piquante sans aucun goût ni saveur tacos manque de saveur ou est le goût du fromage ? Inexistable, dommage la sauce est légèrement sucrée c est une sauce ketchup au piment je vous demande de revisiter votre recette bonne chance",2
gAAAAABnUs7R8uEtQqpI7xdGLo8CFNTnQw_tADniwES392S4_q4hBtsHlV_QVOYEVwf0qXUiztAP4v910wlsRweueH1JRfDElA==,"La cuisine est médiocre, la sauce Vipo est sans vouloir paraître désagréable n'est pas appétissante du tout, trop sucré on dirait littéralement un mélange de ketchup et de piment, honnêtement je suis déçue, car pour le prix je suis censée avoir quelque chose de mangeable, ce qui n'était pas du tout le cas, je ne recommande pas ce fastfood, qui d'ailleurs n'est pas fast pour le coup, car il faut attendre un paquet de temps pour être servie.",1
gAAAAABnUs7R8uEtQqpI7xdGLo8CFNTnQw_tADniwES392S4_q4hBtsHlV_QVOYEVwf0qXUiztAP4v910wlsRweueH1JRfDElA==,"الاجواء و الاضاءة روعة
 النظافة في القمة
 الماكلة بنينةبزاف و ميطولش الكوموند
 و ان شاء الله مع وقت يزيدو خيارات اخرى في menu",5
gAAAAABnUs7R8uEtQqpI7xdGLo8CFNTnQw_tADniwES392S4_q4hBtsHlV_QVOYEVwf0qXUiztAP4v910wlsRweueH1JRfDElA==,"J'ai vraiment aimé cette place, le service est chaleureux w lmakla bnina bien sûr.",4
gAAAAABnUs7R8uEtQqpI7xdGLo8CFNTnQw_tADniwES392S4_q4hBtsHlV_QVOYEVwf0qXUiztAP4v910wlsRweueH1JRfDElA==,"Cozy place, good burgers for the price u pay, the chicken twist was the best.
 sauces are considered as supplements tho that u pay for... which is weird",4
gAAAAABnUs7R8uEtQqpI7xdGLo8CFNTnQw_tADniwES392S4_q4hBtsHlV_QVOYEVwf0qXUiztAP4v910wlsRweueH1JRfDElA==,ما شاء الله,5
gAAAAABnUs7R8uEtQqpI7xdGLo8CFNTnQw_tADniwES392S4_q4hBtsHlV_QVOYEVwf0qXUiztAP4v910wlsRweueH1JRfDElA==,"Accueil chaleureux serveur au top
 Poulet sandwichs tout était parfait et bon copieux je recommande ce lieux
 Juste une petite remarque pour améliorer une Climatisation plus forte serait vraiment top car il fait très chaud dedans",5
gAAAAABnUs7R8uEtQqpI7xdGLo8CFNTnQw_tADniwES392S4_q4hBtsHlV_QVOYEVwf0qXUiztAP4v910wlsRweueH1JRfDElA==,"Great fried chicken
 Great fries",5
gAAAAABnUs7R8uEtQqpI7xdGLo8CFNTnQw_tADniwES392S4_q4hBtsHlV_QVOYEVwf0qXUiztAP4v910wlsRweueH1JRfDElA==,commande fi sa3a ?,1
gAAAAABnUs7R8uEtQqpI7xdGLo8CFNTnQw_tADniwES392S4_q4hBtsHlV_QVOYEVwf0qXUiztAP4v910wlsRweueH1JRfDElA==,"small fast food place , yet the meat is fresh and the service is fast , I had been going there for a few days and I recommend the ""nuggets and fries"" menu with sauce on the side and not on top.",4
gAAAAABnUs7R8uEtQqpI7xdGLo8CFNTnQw_tADniwES392S4_q4hBtsHlV_QVOYEVwf0qXUiztAP4v910wlsRweueH1JRfDElA==,ماكلة بنينة، الشبيبة تستقبل مليح,5
gAAAAABnUs7R8uEtQqpI7xdGLo8CFNTnQw_tADniwES392S4_q4hBtsHlV_QVOYEVwf0qXUiztAP4v910wlsRweueH1JRfDElA==,"Endroit très étroit
 Absence de sanitaire
 Absence de lave-main (en tout cas lors de mon passage )
 Manque de climatisation
 Frites surgelés ou refaits..
 Sauces trop diluées..
 Choix boissons très limité",2
gAAAAABnUs7R8uEtQqpI7xdGLo8CFNTnQw_tADniwES392S4_q4hBtsHlV_QVOYEVwf0qXUiztAP4v910wlsRweueH1JRfDElA==,Délicieux repas,4
gAAAAABnUs7R8uEtQqpI7xdGLo8CFNTnQw_tADniwES392S4_q4hBtsHlV_QVOYEVwf0qXUiztAP4v910wlsRweueH1JRfDElA==,"Nourriture propre , accueil chaleureux Mais les plats sont un peu chers ..un cornet de quelques nuggets à 200 dinnars",2
gAAAAABnUs7R8uEtQqpI7xdGLo8CFNTnQw_tADniwES392S4_q4hBtsHlV_QVOYEVwf0qXUiztAP4v910wlsRweueH1JRfDElA==,Service professional merci,5
gAAAAABnUs7R8uEtQqpI7xdGLo8CFNTnQw_tADniwES392S4_q4hBtsHlV_QVOYEVwf0qXUiztAP4v910wlsRweueH1JRfDElA==,Rabi ybarek ⭐,5
gAAAAABnUs7RtPv3bG9iPG9cF74XY-_zM9sYLb4jTiCWIdjSH8Ry71zE5gMsU7ME_R5XZsvbIBDBvVHdpVFNkNRNTvWgvMlXCg==,1/10,1
gAAAAABnUs7RtPv3bG9iPG9cF74XY-_zM9sYLb4jTiCWIdjSH8Ry71zE5gMsU7ME_R5XZsvbIBDBvVHdpVFNkNRNTvWgvMlXCg==,Déçu.... j'ai commandé une méga shawarma. Bcp de frites et de salades et peu de shawarma mélangé avec du tacos en viande hachée,2
gAAAAABnUs7RtPv3bG9iPG9cF74XY-_zM9sYLb4jTiCWIdjSH8Ry71zE5gMsU7ME_R5XZsvbIBDBvVHdpVFNkNRNTvWgvMlXCg==,جيت عندكم جوايه 14 مي كارثة ذبان داير حالة طاكوس جاج نص طياب و ليزيبيس بزاف علجالكم لحقت لسبيطار حسبي الله دايين شيعة في باطل,1
gAAAAABnUs7RtPv3bG9iPG9cF74XY-_zM9sYLb4jTiCWIdjSH8Ry71zE5gMsU7ME_R5XZsvbIBDBvVHdpVFNkNRNTvWgvMlXCg==,"Pizza et chawarmas toujours aussi bons et le prix sont très correct , dommage que c'est difficile de trouver une place pour rester manger car c'est petit espace",4
gAAAAABnUs7RtPv3bG9iPG9cF74XY-_zM9sYLb4jTiCWIdjSH8Ry71zE5gMsU7ME_R5XZsvbIBDBvVHdpVFNkNRNTvWgvMlXCg==,"اسوء مكان تقدر تاكل فيه
 تسممت بسبب طاكوس شوارما شريتو من عندهم",1
gAAAAABnUs7RtPv3bG9iPG9cF74XY-_zM9sYLb4jTiCWIdjSH8Ry71zE5gMsU7ME_R5XZsvbIBDBvVHdpVFNkNRNTvWgvMlXCg==,شريت شاورما مكانتش بنينة بزاف ،عطاوني معاها ثومية ذقت منها شويا لقيت قشور تاع الثوم!!! حاطين الثوم بيه بقشورو مخسروش مامبا يقشروه c'est grave,1
gAAAAABnUs7RtPv3bG9iPG9cF74XY-_zM9sYLb4jTiCWIdjSH8Ry71zE5gMsU7ME_R5XZsvbIBDBvVHdpVFNkNRNTvWgvMlXCg==,أسوأ ساندويتش كليتو في حياتي، شوارما مسوسة مفيها حتى بنة و معمرة بالجلودة و ساندويتش نااااشف مفيه فرماج مفيه صوص و زيد ملفوق 300دج لا أنصح أبدا.,1
gAAAAABnUs7RtPv3bG9iPG9cF74XY-_zM9sYLb4jTiCWIdjSH8Ry71zE5gMsU7ME_R5XZsvbIBDBvVHdpVFNkNRNTvWgvMlXCg==,Propre et délicieux,4
gAAAAABnUs7RtPv3bG9iPG9cF74XY-_zM9sYLb4jTiCWIdjSH8Ry71zE5gMsU7ME_R5XZsvbIBDBvVHdpVFNkNRNTvWgvMlXCg==,Le service livraison est vraiment catastrophique. J’ai commandé une pizza depuis 2 hrs et elle n’est même pas prête.,1
gAAAAABnUs7RtPv3bG9iPG9cF74XY-_zM9sYLb4jTiCWIdjSH8Ry71zE5gMsU7ME_R5XZsvbIBDBvVHdpVFNkNRNTvWgvMlXCg==,Seriously i dont like the one meal plate he bring it cold . Tacos mixte not bad but there is some much oil in side and also pizza there is no cheese in border of pizza i don’t advice for one meal plate i hope they will improve next time,2
gAAAAABnUs7RtPv3bG9iPG9cF74XY-_zM9sYLb4jTiCWIdjSH8Ry71zE5gMsU7ME_R5XZsvbIBDBvVHdpVFNkNRNTvWgvMlXCg==,so cool so delicious every thing is good but in summer so crowded,5
gAAAAABnUs7RtPv3bG9iPG9cF74XY-_zM9sYLb4jTiCWIdjSH8Ry71zE5gMsU7ME_R5XZsvbIBDBvVHdpVFNkNRNTvWgvMlXCg==,"On a commandé une pizza aux champignons et une pizza au poulet. Celle aux champignons je l'ai trouvé plutôt peu garni, un peu salé et le champignon qui manque de goût mais en somme pas si mauvaise. Quant à la pizza au poulet elle était pas mal aussi mais bon on a goûté mieux.",4
gAAAAABnUs7RtPv3bG9iPG9cF74XY-_zM9sYLb4jTiCWIdjSH8Ry71zE5gMsU7ME_R5XZsvbIBDBvVHdpVFNkNRNTvWgvMlXCg==,"Service nul, serveurs désagréables et peu respectueux envers les clients. Ambiance froide, service rapide mais des plats servi presque froid.
 2/10 dans l ensemble.
 Je ne recommande pas ce petit fast food, ya bcp mieux a Boumerdes",1
gAAAAABnUs7RtPv3bG9iPG9cF74XY-_zM9sYLb4jTiCWIdjSH8Ry71zE5gMsU7ME_R5XZsvbIBDBvVHdpVFNkNRNTvWgvMlXCg==,"Service de mauvaise qualité, accueil désagréable et les serveurs très méchants c'est très grave !!!! Ils ne respectent pas les clients, surtout les serveurs qui travaillent au rez-de-chaussée. C'est malheureux car les repas sont délicieux machallah mais le service est vraiment une déception 0000 respect wlh malgré nous avons commandé nombreux repas et nous étions nombreuses !!",1
gAAAAABnUs7RtPv3bG9iPG9cF74XY-_zM9sYLb4jTiCWIdjSH8Ry71zE5gMsU7ME_R5XZsvbIBDBvVHdpVFNkNRNTvWgvMlXCg==,Delicious,5
gAAAAABnUs7RtPv3bG9iPG9cF74XY-_zM9sYLb4jTiCWIdjSH8Ry71zE5gMsU7ME_R5XZsvbIBDBvVHdpVFNkNRNTvWgvMlXCg==,"Delicious food, good treatment, and quick delivery of the order",4
